POS,Name,STU,MOV,CON,PBABIP,HRR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,STM,HLD,G,GS,IP,R,HR/9,K%,BB%,ERA+,FIP-,rWAR
SP,Logan Webb,45,65,65,50,70,45,45,-,40,45,-,40,-,-,-,-,-,5,EX GB,93-95,65,45,33,33,228.1,73,0.7,20.2,5.1,140,81,7.2
SP,Justin Steele,45,55,60,55,55,-,45,45,50,50,-,55,-,-,-,-,-,5,NEU,93-95,50,60,33,33,209.2,76,0.6,25.2,7.0,125,72,5.5
SP,Tarik Skubal,60,55,65,55,55,80,70,50,60,70,-,-,-,-,-,-,-,5,FB,97-99,60,55,33,33,212.1,79,1.1,30.7,5.0,132,76,5.4
SP,Max Fried,50,60,55,55,60,50,45,50,50,45,-,45,-,-,-,-,-,6,EX GB,94-96,55,75,34,34,217.2,83,0.9,23.8,6.0,133,84,5.3
SP,Shota Imanaga,50,45,65,55,45,55,50,45,45,-,50,-,-,-,-,-,-,5,EX FB,93-95,55,55,32,32,200.1,73,1.0,23.9,5.9,121,85,5.2
SP,Matthew Boyd,50,50,50,55,50,55,70,45,50,-,-,-,-,-,-,-,-,4,EX FB,92-94,45,65,32,32,193.0,70,1.0,29.9,7.5,137,79,5.1
SP,Dustin May,50,55,50,65,50,65,40,-,55,55,-,50,-,-,-,-,-,5,GB,98-100,50,55,32,32,180.1,64,0.7,28.7,7.8,130,74,4.9
SP,Yoshinobu Yamamoto,50,55,65,70,50,65,-,55,45,50,50,50,-,-,-,-,-,6,NEU,96-98,55,60,32,32,175.2,62,1.1,28.8,5.4,149,79,4.8
SP,Nathan Eovaldi,45,45,55,55,45,55,-,45,45,-,45,45,-,-,-,-,-,5,NEU,96-98,55,75,32,32,184.0,68,1.3,24.6,4.5,127,94,4.7
CL,Kumar Rocker,55,50,60,55,50,75,40,65,-,50,-,-,-,-,-,-,-,4,NEU,98-100,40,50,32,32,170.1,63,1.2,25.6,6.2,127,90,4.3
SP,Miles Mikolas,40,50,70,50,45,40,30,35,40,40,-,-,-,-,-,-,-,5,FB,93-95,45,45,32,32,168.1,62,1.2,17.6,5.7,119,103,4.3
SP,Eduardo Rodriguez,45,50,50,50,50,50,45,-,40,45,-,45,-,-,-,-,-,5,FB,92-94,50,55,32,32,187.2,74,0.6,23.2,9.5,123,80,4.2
SP,Nestor Cortes,50,50,60,55,45,50,45,-,50,-,-,55,-,-,-,-,-,4,EX FB,92-94,60,60,32,32,202.2,83,1.6,23.9,6.8,116,107,4.2
SP,Tyler Glasnow,60,50,55,55,50,80,-,70,75,50,-,-,-,-,-,-,-,4,NEU,97-99,50,55,23,23,117.1,33,0.8,30.8,6.7,161,72,4.2
SP,Bryan Woo,45,50,75,65,50,55,40,-,45,45,-,-,-,-,-,-,-,4,FB,95-97,55,45,32,32,194.0,78,1.1,24.1,4.8,124,86,4.2
RP,Grant Holmes,55,55,50,50,55,70,45,-,65,-,-,-,-,-,-,-,-,3,NEU,94-96,40,50,31,31,152.2,54,0.8,23.8,8.1,134,87,4.2
SP,Jesus Luzardo,50,45,45,55,45,70,50,-,65,50,-,-,-,-,-,-,-,4,NEU,96-98,50,55,31,31,158.1,58,0.9,24.4,10.1,124,98,4.1
SP,Tanner Houck,45,60,50,55,65,-,-,-,55,50,45,40,-,-,-,-,-,4,EX GB,94-96,55,50,33,33,187.1,76,0.8,22.4,6.7,115,88,4.0
SP,Taj Bradley,50,50,50,55,45,70,-,50,-,-,55,55,-,-,-,-,-,4,FB,96-98,55,45,33,33,194.0,80,0.9,28.0,8.1,112,82,4.0
RP,Joey Wentz,50,50,45,50,45,55,45,45,-,-,-,55,-,-,-,-,-,4,NEU,94-96,40,60,51,20,140.0,44,0.9,24.4,9.5,150,90,3.9
SP,Zach Eflin,40,50,75,55,50,45,30,35,40,40,-,40,-,-,-,-,-,6,FB,93-95,55,55,33,33,181.1,73,0.8,21.0,4.4,121,81,3.9
SP,Carlos Rodón,55,45,55,55,45,75,50,55,70,-,-,50,-,-,-,-,-,5,EX FB,95-97,60,45,33,33,191.1,79,1.3,28.8,8.2,111,95,3.9
SP,Michael Wacha,40,50,55,55,45,45,-,35,40,-,-,40,-,45,-,-,-,5,FB,94-96,60,50,32,32,201.1,85,0.9,20.0,8.0,107,96,3.9
SP,Jacob deGrom,70,50,70,60,45,80,45,55,85,-,-,-,-,-,-,-,-,4,NEU,98-100,40,60,20,20,112.1,34,1.3,35.1,5.9,150,73,3.8
SP,Kevin Gausman,45,50,55,50,50,55,-,-,50,45,50,-,-,-,-,-,-,4,FB,94-96,60,45,33,33,205.1,89,1.5,23.5,6.6,120,107,3.7
SP,Spencer Schwellenbach,45,50,70,55,50,55,-,45,45,-,45,45,-,-,-,-,-,5,FB,96-98,50,45,33,33,188.1,79,1.0,21.2,4.2,112,84,3.7
SP,Aaron Nola,50,50,70,55,50,50,45,65,-,50,-,45,-,-,-,-,-,5,NEU,93-95,65,45,33,33,188.0,79,1.3,24.4,4.6,113,93,3.7
SP,Cristopher Sanchez,45,55,60,50,55,-,45,-,50,50,-,-,-,-,-,-,-,3,GB,95-97,60,60,33,33,170.2,69,0.8,24.3,6.0,123,79,3.7
SP,Tyler Mahle,45,50,50,60,45,50,-,-,45,-,50,50,-,-,-,-,-,4,NEU,93-95,50,50,32,32,175.1,72,1.1,23.4,7.5,109,98,3.6
SP,Casey Mize,45,50,55,55,50,50,-,35,45,45,40,-,-,-,-,-,-,5,NEU,95-97,55,55,35,35,190.0,81,1.3,22.3,6.9,107,104,3.6
SP,Zack Wheeler,50,55,55,55,55,65,45,50,60,50,-,-,-,-,-,-,-,5,NEU,95-97,65,55,32,32,179.0,75,1.0,23.7,7.0,116,90,3.5
SP,Logan Gilbert,50,50,65,60,50,60,-,50,55,-,45,45,-,-,-,-,-,5,NEU,96-98,70,45,33,33,215.0,97,1.2,22.5,6.2,100,97,3.5
SP,Edward Cabrera,50,50,40,55,50,70,55,60,55,50,-,-,-,-,-,-,-,5,NEU,96-98,45,50,32,32,158.0,63,1.0,26.8,9.5,120,91,3.5
SP,Mitchell Parker,45,50,50,50,50,50,-,45,40,-,45,-,-,-,-,-,-,4,FB,93-95,55,55,26,26,149.0,58,1.0,16.1,9.5,121,111,3.5
SP,Chris Sale,60,50,55,45,55,70,-,-,75,-,-,-,-,60,-,-,-,3,NEU,94-96,60,60,27,27,159.0,64,0.9,31.2,5.8,121,69,3.4
RP,Clayton Kershaw,50,50,60,50,50,45,-,50,50,-,45,-,-,-,-,-,-,4,NEU,90-92,45,65,21,21,102.2,31,0.5,21.2,6.0,146,73,3.4
SP,Corbin Burnes,50,55,55,55,55,-,45,55,50,50,-,55,-,-,-,-,-,5,NEU,95-97,65,45,33,33,201.1,90,1.2,23.8,7.7,103,94,3.4
